title	isbn
Creativity, Inc.	9780812993011
The Structure of Scientific Revolutions	9780226458120
The Idea Factory	9780143122791
The Aeneid	9780143105138
Ender's Game	9780812550702
My Inventions: the Autobiography of Nikola Tesla	9781603866033
Surely You're Joking, Mr. Feynman!	9780393355628
What Do You Care What Other People Think?	9780393355642
QED: the Strange Theory of Light and Matter	9780691164090
Snow Crash	9780553380958
Moby Dick	9781853260087
1984	9780451524935
The Innovator's Dilemma	9781633691780
Be Here Now	9780517543054
Inside the Tornado	9780060745813
Only the Paranoid Survive	9780385483827
The Effective Executive	9780060833459
The Goal: a Process of Ongoing Improvement	9780884271956
Built to Last	9780060516406
The Remains of the Day	9780679731726
Dune	9780441172719
A Wrinkle in Time	9780312367541
Sam Walton: Made in America	9780553562835
Memos from the Chairman	9781523501328
The Mythical Man-Month	9780201835953
Good to Great	9780066620992
Lean Thinking	9780743249270
Data-Driven Marketing	9780470504543
The Black Swan	9780812973815
Creation: Life and How to Make It	9780753812778
Zen Mind, Beginner's Mind	9781590308493
