title	isbn
Grant	9780143110637
Astrophysics for People in a Hurry	9780393609394
Fire and Fury	9781250158062
Educated	9780399590504
I'll Be Gone in the Dark	9780062319784
Russian Roulette	9781538728758
This Is Me	9780062837875
Killers of the Flower Moon	9780307742483
Fascism: A Warning	9780062856524
A Higher Loyalty	9781250192455
The Soul of America	9780399589812
How to Change Your Mind	9781594204227
The Restless Wave	9781501178009
Calypso	9780316392389
Kitchen Confidential	9780060899226
Things That Matter	9780385349192
Everything Trump Touches Dies	9781982103125
Unhinged	9781982109707
Sapiens	9780062316110
Fear: Trump in the White House	9781501175510
