title	isbn
I Know Why the Caged Bird Sings	9780345514400
Go Tell It On the Mountain	9780345806543
Giovanni's Room	9780345806567
The Fire Next Time	9780679744726
Notes of a Native Son	9780807006238
Blues People: Negro Music in White America	9780688184742
S O S: Poems 1961-2013	9780802124685
Kindred	9780807083697
Parable of the Sower	9780446675505
Dawn	9780446603775
The Souls of Black Folk	9781505223378
Black Reconstruction in America 1860-1880	9780684856575
Invisible Man	9780679732761
Juneteenth	9780375707544
The Heart of a Woman	9780812980325
Roots	9780306824852
The Collected Poems of Langston Hughes	9780679764083
Selected Poems	9780679728184
The Ways of White Folks	9780679728177
Their Eyes Were Watching God	9780061120060
Barracoon	9780062748201
Native Son	9780060929800
Black Boy	9780061130243
Beloved	9781400033416
The Bluest Eye	9780307278449
Song of Solomon	9781400033423
Sula	9781400033430
