title	isbn
The Dream of a Common Language	9780393346008
Fun Home	9780618871711
The Collected Stories of Amy Hempel	9780743291637
Americanah	9780307455925
The Hour of the Star	9780811219495
The Secret History	9781400031702
Breathe, Eyes, Memory	9781616955021
The Sixth Extinction	9781250062185
Middlemarch	9780141439549
The Warmth of Other Suns	9780679763888
The Death and Life of Great American Cities	9780679741954
Slouching Towards Bethlehem	9780374531386
We Need To Talk About Kevin	9780062119049
Love Medicine	9780061787423
Collected Stories (Lydia Davis)	9780312655396
Cat's Eye	9780385491020
Frankenstein	9781983888250
Strangers on a Train	9780393321982
A Field Guide to Getting Lost	9780143037248
On Photography	9780312420093
Song of Solomon	9781400033423
Faces in the Crowd	9781566893541
To the Lighthouse	9780156907392
Poems New and Collected (Szymborska)	9780156011464
A History of God	9780345384560
