	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
26	0395870828	David Wiesner	Paperback	<P>A Caldecott classic celebrating twenty years in print.</P>David Wiesner received the 1991 Caldecott Medal for <I>Tuesday</I>. In the years that followed, he went on to receive two more Caldecotts, and <I>Tuesday </I>went on to sell half a million copies in the United States and to be published in a dozen foreign countries. Now, with remarkable advances in the technology of color reproduction, the original artwork for <I>Tuesday </I>is being reproduced anew, for an edition even more faithful to the palette and texture of David Wiesner’s watercolor paintings. The whimsical account of a Tuesday when frogs were airborne on their lily pads will continue to enchant readers of all ages.	https://images-na.ssl-images-amazon.com/images/I/61XTPKHoJNL.jpg	9780395870822	32		799	4.18	22964	Tuesday	https://www.amazon.com/Tuesday-David-Wiesner/dp/0395870828?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0395870828	88.04	59.0	100.0	247.04
39	0689716966	Paul Goble	Paperback	"<I>""There was a girl in the village who loved horses... She led the horses to drink at the river. She spoke softly and they followed. People noticed that she understood horses in a special way.""</I> <BR>And so begins the story of a young Native American girl devoted to the care of her tribe's horses. With simple text and brilliant illustrations. Paul Goble tells how she eventually becomes one of them to forever run free."	https://images-na.ssl-images-amazon.com/images/I/51jtqdhnzRL.jpg	9780689716966	32		451	4.11	9125	The Girl Who Loved Wild Horses	https://www.amazon.com/Girl-Who-Loved-Wild-Horses/dp/0689716966?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0689716966	100.0	55.5	91.1616161616	246.661616162
19	0547248296	Jacqueline Briggs Martin	Paperback	"<P>""Of all the forms of water the tiny six-pointed crystals of ice called snow are incomparably the most beautiful and varied."" -- Wilson Bentley (1865-1931)</P><P>From the time he was a small boy in Vermont, Wilson Bentley saw snowflakes as small miracles. And he determined that one day his camera would capture for others the wonder of the tiny crystal. Bentley's enthusiasm for photographing snowflakes was often misunderstood in his time, but his patience and determination revealed two important truths: no two snowflakes are alike; and each one is startlingly beautiful. His story is gracefully told and brought to life in lovely woodcuts, giving children insight into a soul who had not only a scientist's vision and perseverance but a clear passion for the wonders of nature. <I>Snowflake Bentley </I>won the 1999 Caldecott Medal."	https://images-na.ssl-images-amazon.com/images/I/61%2Bix41IEUL.jpg	9780547248295	32		799	4.17	12382	Snowflake Bentley	https://www.amazon.com/Snowflake-Bentley-Jacqueline-Briggs-Martin/dp/0547248296?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0547248296	88.04	58.5	100.0	246.54
20	0142301930	Brothers Grimm	Paperback	"<b>Award winning author/adapter/illustrator Paul O. Zelinsky's Caldecott Medal Winning book! Perfect for readers of all fairy tales.</b><br><br>""A breathtaking interpretation gives the fairy tale new art-historical roots, with illustrations that daringly-and effectively-mimic the masters of Italian Renaissance painting.""--<i>Publishers Weekly</i><br><br>Trapped in a tower with no door, Rapunzel is allowed to see no one but the sorceress who has imprisoned her-until the day a young prince hears her singing to the forest birds. . . . The timeless tale of Rapunzel is vividly and magnificently brought to life through Paul O. Zelinsky's powerful sense of narrative and his stunning oil paintings.<br><br>""Simply put, this is a gorgeous book; it demonstrates respect for the traditions of painting and the fairy tale while at the same time adhering to a singular, wholly original, artistic vision."" (<i>The Horn Book</i>, starred review)"	https://images-na.ssl-images-amazon.com/images/I/512ysSIHeYL.jpg	9780590386029	48		799	4.16	15034	Rapunzel	https://www.amazon.com/Rapunzel-Picture-Puffin-Books-Zelinsky/dp/0142301930?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0142301930	88.04	58.0	100.0	246.04
14	9780312368784	Mordicai Gerstein	Paperback	<p>The story of a daring tightrope walk between skyscrapers, as seen in Robert Zemeckis' <i>The Walk, </i>starring Joseph Gordon-Levitt.</p><p>In 1974, French aerialist Philippe Petit threw a tightrope between the two towers of the World Trade Center and spent an hour walking, dancing, and performing high-wire tricks a quarter mile in the sky. This picture book captures the poetry and magic of the event with a poetry of its own: lyrical words and lovely paintings that present the detail, daring, and--in two dramatic foldout spreads-- the vertiginous drama of Petit's feat.</p><p><i>The Man Who Walked Between the Towers</i> is the winner of the 2004 Caldecott Medal, the winner of the 2004 Boston Globe - Horn Book Award for Picture Books, and the winner of the 2006 Carnegie Medal for Excellence in Children's Video.</p>	https://images-na.ssl-images-amazon.com/images/I/51xF0hqxneL.jpg	9780312368784	44	11	799	4.15	13740	The Man Who Walked Between the Towers	https://www.amazon.com/Man-Who-Walked-Between-Towers/dp/031236878X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=031236878X	88.04	57.5	100.0	245.54
24	9780547076805	Allen Say	Paperback	Lyrical, breathtaking, splendid—words used to describe Allen Say’s Grandfather’s Journey when it was first published. At once deeply personal yet expressing universally held emotions, this tale of one man’s love for two countries and his constant desire to be in both places captured readers’ attention and hearts. Winner of the 1994 Caldecott Medal, it remains as historically relevant and emotionally engaging as ever.	https://images-na.ssl-images-amazon.com/images/I/51fsbSyxJQL.jpg	9780547076805	32		799	4.12	14554	Grandfather's Journey	https://www.amazon.com/Grandfathers-Journey-Allen-Say/dp/0547076800?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0547076800	88.04	56.0	100.0	244.04
5	0763655996	Jon Klassen	Hardcover	<b>The 2013 Caldecott Medal winner!<br><br>From the creator of the #1 <i>New York Times</i> best-selling and award-winning<i> I Want My Hat Back</i> comes a second wry tale.</b><br><br>When a tiny fish shoots into view wearing a round blue topper (which happens to fit him perfectly), trouble <i>could </i>be following close behind. So it’s a good thing that enormous fish won’t wake up. And even if he does, it’s not like he’ll ever know what happened. . . . Visual humor swims to the fore as the best-selling Jon Klassen follows his breakout debut with another deadpan-funny tale.	https://images-na.ssl-images-amazon.com/images/I/41qS3oDZ5gL.jpg	9780763655990	40	42	989	4.24	17073	This Is Not My Hat	https://www.amazon.com/This-Not-Hat-Jon-Klassen/dp/0763655996?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0763655996	80.44	62.0	100.0	242.44
28	0698113829	Ed Young	Paperback	"<b>WINNER OF THE RANDOLPH CALDECOTT MEDAL, AWARDED TO THE ARTIST OF THE MOST DISTINGUISHED AMERICAN PICTURE BOOK OF THE YEAR</b><br><br>""(Young's) command of page composition and his sensitive use of color give the book a visual force that matches the strength of the story and stands as one of the illustrator's best efforts."" --<i>Booklist<br><br></i>""Absolutely splendid."" -- <i>Kirkus Reviews</i>. ""An extraordinary and powerful book."" -- <i>Publisher's Weekly<br><br></i>The now-classic Chinese retelling of Little Red Riding Hood, and one of the most celebrated picture books of our time."	https://images-na.ssl-images-amazon.com/images/I/51%2Btfs4kJoL.jpg	9780698113824	32		799	4.04	15936	Lon Po Po: A Red-Riding Story from China	https://www.amazon.com/Lon-Po-Red-Riding-Story-China/dp/0698113829?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0698113829	88.04	52.0	100.0	240.04
38	0140504419	Donald Hall	Paperback	"<b>Winner of the Caldecott Medal</b><br><br>Thus begins a lyrical journey through the days and weeks, the months, and the changing seasons in the life of one New Englander and his family. The oxcart man packs his goods - the wool from his sheep, the shawl his wife made, the mittens his daughter knitted, and the linen they wove. He packs the birch brooms his son carved, and even a bag of goose feathers from the barnyard geese.<br><br>He travels over hills, through valleys, by streams, past farms and villages. At Portsmouth Market he sells his goods, one by one - even his beloved ox. Then, with his pockets full of coins, he wanders through the market, buying provisions for his family, and returns to his home. And the cycle begins again.<br><br> <b>""Like a pastoral symphony translated into picture book format, the stunning combination of text and illustrations recreates the mood of 19-century rural New England.""—<i>The Horn Book </i></b>"	https://images-na.ssl-images-amazon.com/images/I/6128D06SqML.jpg	9780140504415	40		799	4.03	13069	Ox-Cart Man	https://www.amazon.com/Ox-Cart-Man-Donald-Hall/dp/0140504419?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140504419	88.04	51.5	100.0	239.54
42	9780140549058	Verna Aardema	Paperback	"""In this Caldecott Medal winner, Mosquito tells a story that causes a jungle disaster. ""Elegance has become the Dillons' hallmark. . . . Matching the art is Aardema's uniquely onomatopoeic text . . . An impressive showpiece.""<br><i>-Booklist</i>, starred review.<br><br><b>Winner of Caldecott MedalÂ in 1976 and the Brooklyn Art Books for Children Award in 1977.</b>"	https://images-na.ssl-images-amazon.com/images/I/51JMQLsBIfL.jpg	9780140549058	32		799	4.02	23480	Why Mosquitoes Buzz in People's Ears	https://www.amazon.com/Why-Mosquitoes-Buzz-Peoples-Ears/dp/0140549056?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140549056	88.04	51.0	100.0	239.04
13	0060588284	Kevin Henkes	Hardcover	"<p>""In this Caldecott Medal-winning picture book, Kevin Henkes conveys just how gorgeous black, white, and grey illustrations can be. Simple text and the charming story of a kitten mistaking the moon for a bowl of milk make this book one to keep for years to come."" - Seira Wilson, Amazon Editor</p><p>The nationally bestselling picture book about a kitten, the moon, and a bowl of milk, written by the celebrated author and illustrator Kevin Henkes, was awarded a Caldecott Medal.</p><p>From one of the most celebrated and beloved picture book creators working in the field today comes a memorable new character and a suspenseful adventure just right for reading and sharing at home and in the classroom. It is Kitten's first full moon, and when she sees it she thinks it is a bowl of milk in the sky. And she wants it. Does she get it? Well, no . . . and yes. What a night!</p><p>A brief text, large type, and luminescent pictures play second fiddle to the star of this classic picture book—brave, sweet and lucky Kitten! ""Henkes's text, reminiscent of Margaret Wise Brown's work in the elemental words, rhythms, and appealing sounds, tells a warm, humorous story that's beautifully extended in his shimmering, gray-toned artwork.""—<em>ALA Booklist</em> </p><p>Winner of the Caldecott Medal, an ALA Notable Book, a <em>New York Times</em> Best Illustrated Book, and winner of the Charlotte Zolotow Award</p><p>Supports the Common Core State Standards</p>"	https://images-na.ssl-images-amazon.com/images/I/611DhKmSXaL.jpg	9780060588281	40	50	899	4.09	20236	Kitten's First Full Moon	https://www.amazon.com/Kittens-First-Full-Kevin-Henkes/dp/0060588284?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0060588284	84.04	54.5	100.0	238.54
25	0698114434	Emily Arnold McCully	Paperback	One day, a mysterious stranger arrives at a boardinghouse of the widow Gateau—a sad-faced stranger, who keeps to himself. When the widow’s daughter, Mirette, discovers him crossing the courtyard on air, she begs him to teach her how he does it.<br>  <br> But Mirette doesn’t know that the stranger was once the Great Bellini—master wire-walker. Or that Bellini has been stopped by a terrible fear. And it is she who must teach him courage once again.<br>  <br> Emily Arnold McCully’s sweeping watercolor paintings carry the reader over the rooftops of nineteenth-century Paris and into an elegant, beautiful world of acrobats, jugglers, mimes, actors, and one gallant, resourceful little girl.	https://images-na.ssl-images-amazon.com/images/I/51tVGpF-TQL.jpg	9780698114432	32		799	4.00	10404	Mirette on the High Wire	https://www.amazon.com/Mirette-High-Emily-Arnold-McCully/dp/0698114434?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0698114434	88.04	50.0	100.0	238.04
48	1442435607	William Steig	Paperback	<b >A cherished classic is brought to life with the audio stylings of renowned actor James Earl Jones.</b><BR><BR>Sylvester can’t believe his luck when he finds a magic pebble that can make wishes come true. But when a lion jumps out at him on his way home, Sylvester is shocked into making a wish that has unexpected consequences. After overcoming a series of obstacles, Sylvester is eventually reunited with his loving family. Illustrated with William Steig’s glowing pictures, this winner of the Caldecott Medal is beloved by children everywhere. <BR><BR>This package includes a paperback book along with a CD of this modern classic read by legendary actor James Earl Jones.	https://images-na.ssl-images-amazon.com/images/I/51So2bT5BLL.jpg	9781442435605	32		999	4.14	40140	Sylvester and the Magic Pebble	https://www.amazon.com/Sylvester-Magic-Pebble-William-Steig/dp/1442435607?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1442435607	80.04	57.0	100.0	237.04
8	0316013560	Jerry Pinkney	Hardcover	<b>The Caldecott Award-winning and <i>New York Times</i> bestselling fable of compassion and kindness retold by acclaimed artist Jerry Pinkney.</b><br><br>In award-winning artist Jerry Pinkney's wordless adaptation of one of Aesop's most beloved fables, an unlikely pair learn that no act of kindness is ever wasted. After a ferocious lion spares a cowering mouse that he'd planned to eat, the mouse later comes to his rescue, freeing him from a poacher's trap. With vivid depictions of the landscape of the African Serengeti and expressively-drawn characters, Pinkney makes this a truly special retelling, and his stunning pictures speak volumes.	https://images-na.ssl-images-amazon.com/images/I/61BKtoyM4KL.jpg	9780316013567	40	39	1161	4.23	20694	The Lion and the Mouse	https://www.amazon.com/Lion-Mouse-Jerry-Pinkney/dp/0316013560?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0316013560	73.56	61.5	100.0	235.06
15	031236752X	Eric Rohmann	Paperback	<p>Rabbit saves the day in a most ingeneous way.</p><p>When Mouse lets his best friend, Rabbit, play with his brand-new airplane, trouble isn't far behind. From Caldecott Honor award winner Eric Rohmann comes a brand-new picture book about friends and toys and trouble, illustrated in robust, expressive prints.</p><p><i>My Friend Rabbit</i> is the winner of the 2003 Caldecott Medal.</p>	https://images-na.ssl-images-amazon.com/images/I/51c0mp2fcmL.jpg	9780312367527	32		799	3.89	10401	My Friend Rabbit	https://www.amazon.com/My-Friend-Rabbit-Picture-Book/dp/031236752X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=031236752X	88.04	44.5	100.0	232.54
16	0618007016	David Wiesner	Hardcover	<DIV>This Caldecott Medal-winning picture book begins placidly (and familiarly) enough, with three pigs collecting materials and going off to build houses of straw, sticks, and bricks. But the wolf’s huffing and puffing blows the first pig right out of the story . . . and into the realm of pure imagination. The transition signals the start of a freewheeling adventure with characteristic David Wiesner effects—cinematic flow, astonishing shifts of perspective, and sly humor, as well as episodes of flight. <BR>Satisfying both as a story and as an exploration of the nature of story, The Three Pigs takes visual narrative to a new level. Dialogue balloons, text excerpts, and a wide variety of illustration styles guide the reader through a dazzling fantasy universe to the surprising and happy ending. Fans of Tuesday’s frogs and Sector 7’s clouds will be captivated by old friends—the Three Pigs of nursery fame and their companions—in a new guise. <BR></DIV>	https://images-na.ssl-images-amazon.com/images/I/51FB9c5g0iL.jpg	9780618007011	40	38	1178	4.15	17913	The Three Pigs	https://www.amazon.com/Three-Pigs-David-Wiesner/dp/0618007016?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0618007016	72.88	57.5	100.0	230.38
7	1596434023	Philip C. Stead	Hardcover	<DIV><DIV><DIV><i>The Best Sick Day Ever</i> and the animals in the zoo feature in this striking picture book debut.</DIV><DIV> </DIV><DIV>Friends come in all sorts of shapes and sizes. In Amos McGee’s case, all sorts of species, too! Every day he spends a little bit of time with each of his friends at the zoo, running races with the tortoise, keeping the shy penguin company, and even reading bedtime stories to the owl. But when Amos is too sick to make it to the zoo, his animal friends decide it’s time they returned the favor.</DIV></DIV></DIV>	https://images-na.ssl-images-amazon.com/images/I/51ufNmqoNHL.jpg	9781596434028	32	29	1343	4.26	17205	A Sick Day for Amos McGee	https://www.amazon.com/Sick-Day-Amos-McGee/dp/1596434023?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1596434023	66.28	63.0	100.0	229.28
