	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
4	0812550706	Orson Scott Card	Mass Market Paperback	"In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut--young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training.Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers, Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If the world survives, that is.Winner of the Hugo and Nebula Awards."	https://images-na.ssl-images-amazon.com/images/I/51L10EnuJbL.jpg	9780812550702	352		799	4.30	991800	Ender's Game	https://www.amazon.com/Enders-Ender-Quintet-Orson-Scott/dp/0812550706?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0812550706	88.04	65.0	100.0	253.04
11	9780451524935	George Orwell	Mass Market Paperback	Written in 1948, 1984 was George Orwell’s chilling prophecy about the future. And while 1984 has come and gone, his dystopian vision of a government that will do anything to control the narrative is timelier than ever...•Nominated as one of America’s best-loved novels by PBS’s The Great American Read•“The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command.”Winston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston can’t escape the fact that Big Brother is always watching...A startling and haunting vision of the world, 1984 is so powerful that it is completely convincing from start to finish. No one can deny the influence of this novel, its hold on the imaginations of multiple generations of readers, or the resiliency of its admonitions—a legacy that seems only to grow with the passage of time.	https://images-na.ssl-images-amazon.com/images/I/31lWUHDG7uL.jpg	9780451524935	328	25	749	4.17	2528600	1984	https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0451524934	90.04	58.5	100.0	248.54
22	9780553562835	Sam Walton	Mass Market Paperback	"Meet a genuine American folk hero cut from the homespun cloth of America's heartland: Sam Walton, who parlayed a single dime store in a hardscrabble cotton town into Wal-Mart, the largest retailer in the world.  The undisputed merchant king of the late twentieth century, Sam never lost the common touch.  Here, finally, inimitable words.  Genuinely modest, but always sure if his ambitions and achievements.  Sam shares his thinking in a candid, straight-from-the-shoulder style. In a story rich with anecdotes and the ""rules of the road"" of both Main Street and Wall Street, Sam Walton chronicles the inspiration, heart, and optimism that propelled him to lasso the American Dream."	https://images-na.ssl-images-amazon.com/images/I/41veF3pBE2L.jpg	9780553562835	368	20	719	4.13	14300	Sam Walton: Made in America	https://www.amazon.com/Sam-Walton-Made-America/dp/0553562835?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0553562835	91.24	56.5	100.0	247.74
21	9780312367541	Madeleine L'Engle	Paperback	"This is Book 1 of the Time Quintet Series It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger. ""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me sit down for a moment, and then I'll be on my way. Speaking of ways, by the way, there is such a thing as a tesseract."" A tesseract (in case the reader doesn't know) is a wrinkle in time. To tell more would rob the reader of the enjoyment of Miss L'Engle's unusual book. A Wrinkle in Time, winner of the Newbery Medal in 1963, is the story of the adventures in space and time of Meg, Charles Wallace, and Calvin O'Keefe (athlete, student, and one of the most popular boys in high school). They are in search of Meg's father, a scientist who disappeared while engaged in secret work for the government on the tesseract problem. A Wrinkle in Time is the winner of the 1963 Newbery Medal."	https://images-na.ssl-images-amazon.com/images/I/513hgSybYgL.jpg	9780312367541	256	11	619	4.01	854200	A Wrinkle in Time	https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0312367546	95.24	50.5	100.0	245.74
20	0441172717	Frank Herbert	Mass Market Paperback	Frank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time—nominated as one of America’s best-loved novels by PBS’s The Great American Read.Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides—who would become known as Muad’Dib—and of a great family’s ambition to bring to fruition humankind’s most ancient and unattainable dream.A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.	https://images-na.ssl-images-amazon.com/images/I/41dYX%2BWUkaL.jpg	9780441172719	896	18	899	4.21	604900	Dune	https://www.amazon.com/Dune-Frank-Herbert/dp/0441172717?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0441172717	84.04	60.5	100.0	244.54
13	9780517543054	Ram Dass	Paperback	“We’re talking about metamorphosis We’re talking about going from a caterpillar to a butterfly We’re talking about how to become a butterfly.”   In March 1961, Professor Richard Alpert – later renamed Ram Dass – held appointments in four departments at Harvard University. He published books, drove a Mercedes and regularly vacationed in the Caribbean. By most societal standards, he had achieved great success... And yet he couldn’t escape the feeling that something was missing.    Psilocybin and LSD changed that. During a period of experimentation, Alpert peeled away each layer of his identity, disassociating from himself as a professor, a social cosmopolite, and lastly, as a physical being. Fear turned into exaltation upon the realization that at his truest, he was just his inner-self: a luminous being that he could trust indefinitely and love infinitely. And thus, a spiritual journey commenced. Alpert headed to India where his guru renamed him Baba Ram Dass – “servant of God.” He was introduced to mindful breathing exercises, hatha yoga, and Eastern philosophy. If he found himself reminiscing or planning, he was reminded to “Be Here Now.” He started upon the path of enlightenment, and has been journeying along it ever since.  Be Here Now is a vehicle for sharing the true message, and a guide to self-determination.  With over 150 pages of metaphysical illustrations, practical advice on how to implement a yogic regiment, and a chapter dedicated to quotes and book recommendations, Be Here Now is sure to enrich your emotional, physical, and spiritual life.	https://images-na.ssl-images-amazon.com/images/I/61ZGMBIiIiL.jpg	9780517543054	416	32	1030	4.29	21500	Be Here Now	https://www.amazon.com/Be-Here-Now-Ram-Dass/dp/0517543052?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0517543052	78.8	64.5	100.0	243.3
6	0393355624	Richard P. Feynman	Paperback	"One of the most famous science books of our time, the phenomenal national bestseller that ""buzzes with energy, anecdote and life. It almost makes you want to become a physicist"" (Science Digest).Richard P. Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. In this lively work that “can shatter the stereotype of the stuffy scientist” (Detroit Free Press), Feynman recounts his experiences trading ideas on atomic physics with Einstein and cracking the uncrackable safes guarding the most deeply held nuclear secrets―and much more of an eyebrow-raising nature. In his stories, Feynman’s life shines through in all its eccentric glory―a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.Included for this edition is a new introduction by Bill Gates."	https://images-na.ssl-images-amazon.com/images/I/51jL19me4oL.jpg	9780393355628	400	32	1084	4.28	125500	Surely You're Joking, Mr. Feynman!	https://www.amazon.com/Surely-Youre-Joking-Mr-Feynman/dp/0393355624?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0393355624	76.64	64.0	100.0	240.64
7	9780393355642	Richard P. Feynman	Paperback	"The New York Times best-selling sequel to ""Surely You’re Joking, Mr. Feynman!""Like the ""funny, brilliant, bawdy"" (The New Yorker) ""Surely You’re Joking, Mr. Feynman!"" this book’s many stories―some funny, others intensely moving―display Richard P. Feynman’s unquenchable thirst for adventure and unparalleled ability to recount important moments from his life.Here we meet Feynman’s first wife, Arlene, who taught him of love’s irreducible mystery as she lay dying in a hospital bed while he worked on the atomic bomb at nearby Los Alamos. We listen to the fascinating narrative of the investigation into the space shuttle Challenger’s explosion in 1986 and relive the moment when Feynman revealed the disaster’s cause through an elegant experiment: dropping a ring of rubber into a glass of cold water and pulling it out, misshapen. In ""What Do You Care What Other People Think?"" one of the greatest physicists of the twentieth century lets us see the man behind the genius."	https://images-na.ssl-images-amazon.com/images/I/51chg7QzXvL.jpg	9780393355642	288	32	1084	4.27	19300	What Do You Care What Other People Think?	https://www.amazon.com/What-Care-Other-People-Think/dp/0393355640?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0393355640	76.64	63.5	100.0	240.14
30	9781590308493	Shunryu Suzuki	Paperback	"""In the beginner's mind there are many possibilities, but in the expert's there are few."" So begins this most beloved of all American Zen books.  Seldom has such a small handful of words provided a teaching as rich as has this famous opening line.  In a single stroke, the simple sentence cuts through the pervasive tendency students have of getting so close to Zen as to completely miss what it's all about.  An instant teaching on the first page.  And that's just the beginning. In the forty years since its original publication, Zen Mind, Beginner’s Mind has become one of the great modern spiritual classics, much beloved, much reread, and much recommended as the best first book to read on Zen. Suzuki Roshi presents the basics—from the details of posture and breathing in zazen to the perception of nonduality—in a way that is not only remarkably clear, but that also resonates with the joy of insight from the first to the last page."	https://images-na.ssl-images-amazon.com/images/I/41Y-u0Q38sL.jpg	9781590308493	176	32	1152	4.23	30600	Zen Mind, Beginner's Mind	https://www.amazon.com/Zen-Mind-Beginners-Informal-Meditation/dp/1590308492?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1590308492	73.92	61.5	100.0	235.42
19	0679731725	Kazuo Ishiguro	Paperback	"From the winner of the Nobel Prize in Literature, here is the universally acclaimed novel—winner of the Booker Prize and the basis for an award-winning film.    This is Kazuo Ishiguro's profoundly compelling portrait of Stevens, the perfect butler, and of his fading, insular world in post-World War II England. Stevens, at the end of three decades of service at Darlington Hall, spending a day on a country drive, embarks as well on a journey through the past in an effort to reassure himself that he has served humanity by serving the ""great gentleman,"" Lord Darlington. But lurking in his memory are doubts about the true nature of Lord Darlington's ""greatness,"" and much graver doubts about the nature of his own life."	https://images-na.ssl-images-amazon.com/images/I/51zWSIKjmuL.jpg	9780679731726	245	32	1087	4.12	164100	The Remains of the Day	https://www.amazon.com/Remains-Day-Kazuo-Ishiguro/dp/0679731725?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679731725	76.52	56.0	100.0	232.52
