	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
4	1250161541	J. D. Robb	Mass Market Paperback	<p><b>Lieutenant Eve Dallas returns in<i> Dark in Death</i>, by J.D. Robb, the #1 <i>New York Times</i> bestselling master of suspense, and takes on a case of death imitating art…</b><br><b></b><br>It was a stab in the dark.</p><p>On a chilly February night, during a screening of <i>Psycho</i> in midtown, someone sunk an ice pick into the back of Chanel Rylan’s neck, then disappeared quietly into the crowds of drunks and tourists in Times Square. To Chanel’s best friend, who had just slipped out of the theater for a moment to take a call, it felt as unreal as the ancient black-and-white movie up on the screen. But Chanel’s blood ran red, and her death was anything but fictional.</p><p>Then, as Eve Dallas puzzles over a homicide that seems carefully planned and yet oddly personal, she receives a tip from an unexpected source: an author of police thrillers who recognizes the crime―from the pages of her own book. Dallas doesn’t think it’s coincidence, since a recent strangulation of a sex worker resembles a scene from her writing as well. Cops look for patterns of behavior: similar weapons, similar MOs. But this killer seems to find inspiration in someone else’s imagination, and if the theory holds, this may be only the second of a long-running series.</p><p>The good news is that Eve and her billionaire husband Roarke have an excuse to curl up in front of the fireplace with their cat, Galahad, reading mystery stories for research. The bad news is that time is running out before the next victim plays an unwitting role in a murderer’s deranged private drama―and only Eve can put a stop to a creative impulse gone horribly, destructively wrong.</p><p>From the author of <i>Echoes in Death</i>, this is the latest of the edgy, phenomenally popular police procedurals that <i>Publishers Weekly</i> calls “inventive, entertaining, and clever.”</p>	https://images-na.ssl-images-amazon.com/images/I/510Rzpf733L.jpg	9781250161543	416	25	674	4.28	12058	Dark in Death	https://www.amazon.com/Dark-Death-Dallas-Novel-Book/dp/1250161541?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1250161541	93.04	64.0	100.0	257.04
9	0307887448	Ernest Cline	Paperback	<p><b><b>Nominated as one of America’s best-loved novels by PBS’s <i>The Great American Read</i></b><br><br>The worldwide bestseller—now a major motion picture directed by Steven Spielberg.</b><br><br>In the year 2045, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines—puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. </p><p>But when Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.</p>	https://images-na.ssl-images-amazon.com/images/I/51NzrYog-7L.jpg	9780307887443	400	45	879	4.29	656973	Ready Player One	https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0307887448	84.84	64.5	100.0	249.34
10	1538761386	David Baldacci	Paperback	<b>Star FBI detective Amos Decker and his colleague Alex Jamison must solve four increasingly bizarre murders in a dying rust belt town--and the closer they come to the truth, the deadlier it gets in this rapid-fire #1 <i>New York Times</i> bestseller.</b><br><br>Something sinister is going on in Baronville. The rust belt town has seen four bizarre murders in the space of two weeks. Cryptic clues left at the scenes--obscure bible verses, odd symbols--have the police stumped.<br><br>Amos Decker and his FBI colleague Alex Jamison are in Baronville visiting Alex's sister and her family. It's a bleak place: a former mill and mining town with a crumbling economy and rampant opioid addiction. Decker has only been there a few hours when he stumbles on a horrific double murder scene.<br><br>Then the next killing hits sickeningly close to home. And with the lives of people he cares about suddenly hanging in the balance, Decker begins to realize that the recent string of deaths may be only one small piece of a much larger scheme--with consequences that will reach far beyond Baronville.<br><br>Decker, with his singular talents, may be the only one who can crack this bizarre case. Only this time--when one mistake could cost him everything--Decker finds that his previously infallible memory may not be so trustworthy after all...<br>	https://images-na.ssl-images-amazon.com/images/I/51WapwlS8UL.jpg	9781538761380	464	32	1087	4.24	24933	The Fallen	https://www.amazon.com/Fallen-Memory-Man-David-Baldacci/dp/1538761386?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1538761386	76.52	62.0	100.0	238.52
0	9780525563709	Dan Brown	Paperback	Robert Langdon, Harvard professor of symbology, arrives at the ultramodern Guggenheim Museum Bilbao to attend the unveiling of a discovery that “will change the face of science forever.” The evening’s host is Edmond Kirsch, a forty-year-old billionaire and futurist, and one of Langdon’s first students. <br><br>But the meticulously orchestrated evening suddenly erupts into chaos, and Kirsch’s precious discovery teeters on the brink of being lost forever. Facing an imminent threat, Langdon is forced to flee. With him is Ambra Vidal, the elegant museum director who worked with Kirsch. They travel to Barcelona on a perilous quest to locate a cryptic password that will unlock Kirsch’s secret. <br><br>Navigating the dark corridors of hidden history and extreme re­ligion, Langdon and Vidal must evade an enemy whose all-knowing power seems to emanate from Spain’s Royal Palace. They uncover clues that ultimately bring them face-to-face with Kirsch’s shocking discovery…and the breathtaking truth that has long eluded us.	https://images-na.ssl-images-amazon.com/images/I/51nwmurvS4L.jpg	9780525563709	656	25	748	3.85	161491	Origin	https://www.amazon.com/Origin-Robert-Langdon-Dan-Brown/dp/0525563709?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0525563709	90.08	42.5	100.0	232.58
1	1538745518	James Patterson	Paperback	<div><b>With explosive charges and shocking evidence, Alex Cross is about to face the trial of the century in the #1 <i>New York Times </i>bestselling series.</b></div><div><br></div><div>Alex Cross is on the wrong side of the law. Charged with gunning down followers of his nemesis Gary Soneji in cold blood, he is being turned into the poster child for trigger-happy cops. Cross knows it was self-defense. But will a jury see it that way?</div><div><br></div><div>When his former partner Sampson shows up needing his help, Cross jumps at the chance, even if it may end up costing him what's left of his career. When a string of young, blonde women go missing, the investigation leads Cross and Sampson to the most depraved, darkest corners of the internet, where murder is just another form of entertainment.</div><div><br></div><div>As the prosecution presents its case, and the nation watches, even those closest to Cross begin to doubt his innocence. If he can't convince his own family that he didn't pull the trigger with intent to kill, how can he hope to persuade a jury? But even with everything on the line, Cross will do whatever it takes to stop a dangerous criminal . . . even if he can't save himself.</div><div><br></div><div>Struggling to prove his own innocence and uncover the truth lurking online, Cross must risk everything to save his most at-risk patient of all: himself.</div>	https://images-na.ssl-images-amazon.com/images/I/5159dxIpNeL.jpg	9781538745519	448	20	1279	4.20	11545	The People v. Alex Cross	https://www.amazon.com/People-vs-Alex-Cross/dp/1538745518?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1538745518	68.84	60.0	100.0	228.84
11	0735217351	John Sandford	Hardcover	<b><b>Lucas Davenport confronts an old nemesis, now a powerful U.S. senator, in this thrilling #1 </b><b><i>New York Times</i></b><b>-bestselling new novel in the Prey series</b>.</b><br><br>Lucas Davenport had crossed paths with her before.<br><br>A rich psychopath, Taryn Grant had run successfully for the U.S. Senate, where Lucas had predicted she'd fit right in. He was also convinced that she'd been responsible for three murders, though he'd never been able to prove it. Once a psychopath had gotten that kind of rush, though, he or she often needed another fix, so he figured he might be seeing her again.<br><br>He was right. A federal marshal now, with a very wide scope of investigation, he's heard rumors that Grant has found her seat on the Senate intelligence committee, and the contacts she's made from it, to be very...useful. Pinning those rumors down was likely to be just as difficult as before, and considerably more dangerous.<br><br>But they had unfinished business, he and Grant. One way or the other, he was going to see it through to the end.	https://images-na.ssl-images-amazon.com/images/I/51r2hGVNGxL.jpg	9780735217355	400	44	1614	4.42	12804	Twisted Prey	https://www.amazon.com/Twisted-Prey-Novel-John-Sandford/dp/0735217351?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0735217351	55.44	71.0	100.0	226.44
3	1538731851	Douglas Preston	Paperback	"<div></div> <div> <div><b>#1 <em>NEW YORK TIMES</em> BESTSELLER</b></div> <div> </div> <div><b></b></div> <div><b>""A consistently exciting and never predictable series.""-</b><b>-Associated Press</b></div> <div><br></div> <div>When Grace Ozmian, the beautiful and reckless daughter of a wealthy tech billionaire, first goes missing, the NYPD assumes she has simply sped off on another wild adventure. Until the young woman's body is discovered in an abandoned warehouse in Queens, the head nowhere to be found.</div> <div><br></div> <div>Lieutenant CDS Vincent D'Agosta quickly takes the lead. He knows his investigation will attract fierce scrutiny, so D'Agosta is delighted when FBI Special Agent A.X.L. Pendergast shows up at the crime scene assigned to the case. ""I feel rather like Brer Rabbit being thrown into the briar patch,"" Pendergast tells D'Agosta, ""because I have found you here, in charge. Just like when we first met, back at the Museum of Natural History.""</div> <div><br></div> <div>But neither Pendergast nor D'Agosta are prepared for what lies ahead. A diabolical presence is haunting the greater metropolitan area, and Grace Ozmian was only the first of many victims to be murdered . . . and decapitated. Worse still, there's something unique to the city itself that has attracted the evil eye of the killer.</div> <div><br></div> <div>As mass hysteria sets in, Pendergast and D'Agosta find themselves in the crosshairs of an opponent who has threatened the very lifeblood of the city. It'll take all of Pendergast's skill to unmask this most dangerous foe-let alone survive to tell the tale.</div></div> <div><br></div>"	https://images-na.ssl-images-amazon.com/images/I/51qbBIIUaeL.jpg	9781538731857	400	32	1087	4.08	9593	City of Endless Night	https://www.amazon.com/City-Endless-Night-Agent-Pendergast/dp/1538731851?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1538731851	76.52	54.0	95.8888888889	226.408888889
19	9780345803788	Kevin Kwan	Paperback	<b>A hilarious and heartwarming <i>New York Times</i> bestselling novel<b>—</b>now a major motion picture!</b><br> <b> </b><br> <b>“This 48-karat beach read is crazy fun.” —<i>Entertainment Weekly</i></b><br><br>When New Yorker Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home and quality time with the man she hopes to marry. But Nick has failed to give his girlfriend a few key details. One, that his childhood home looks like a palace; two, that he grew up riding in more private planes than cars; and three, that he just happens to be the country’s most eligible bachelor. <br>  <br> On Nick’s arm, Rachel may as well have a target on her back the second she steps off the plane, and soon, her relaxed vacation turns into an obstacle course of old money, new money, nosy relatives, and scheming social climbers.	https://images-na.ssl-images-amazon.com/images/I/41AWqUSdKTL.jpg	9780345803788	544	29	1134	3.82	170976	Crazy Rich Asians	https://www.amazon.com/Crazy-Rich-Asians-Trilogy/dp/0345803787?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0345803787	74.64	41.0	100.0	215.64
15	1250161592	Nora Roberts	Hardcover	<p><b>From Nora Roberts comes the #1 <i>New York Times</i> bestseller <i>Shelter in Place</i> (June 2018)</b><b><i>―</i></b><b>a powerful tale of heart, heroism...and propulsive suspense.</b><br><b></b><br>It was a typical evening at a mall outside Portland, Maine. Three teenage friends waited for the movie to start. A boy flirted with the girl selling sunglasses. Mothers and children shopped together, and the manager at the video-game store tending to customers. Then the shooters arrived.</p><p>The chaos and carnage lasted only eight minutes before the killers were taken down. But for those who lived through it, the effects would last forever. In the years that followed, one would dedicate himself to a law enforcement career. Another would close herself off, trying to bury the memory of huddling in a ladies' room, hopelessly clutching her cell phone--until she finally found a way to pour her emotions into her art.</p><p>But one person wasn't satisfied with the shockingly high death toll at the DownEast Mall. And as the survivors slowly heal, find shelter, and rebuild, they will discover that another conspirator is lying in wait--and this time, there might be nowhere safe to hide.</p>	https://images-na.ssl-images-amazon.com/images/I/51sbqxu4BWL.jpg	9781250161598	448	37	1772	4.27	15489	Shelter in Place	https://www.amazon.com/Shelter-Place-Nora-Roberts/dp/1250161592?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1250161592	49.12	63.5	100.0	212.62
5	0312577230	Kristin Hannah	Hardcover	"<p><b>An instant #1 <i>New York Times </i>bestseller! </b><br><b></b><br><b>""A TOUR DE FORCE."" ―<i>Kirkus</i> (starred review)</b><br><b></b><br><b><i>Alaska, 1974.</i></b><br><b><i>Unpredictable. Unforgiving. Untamed.</i></b><br><b><i>For a family in crisis, the ultimate test of survival.</i></b></p><p>Ernt Allbright, a former POW, comes home from the Vietnam war a changed and volatile man. When he loses yet another job, he makes an impulsive decision: he will move his family north, to Alaska, where they will live off the grid in America’s last true frontier. </p><p>Thirteen-year-old Leni, a girl coming of age in a tumultuous time, caught in the riptide of her parents’ passionate, stormy relationship, dares to hope that a new land will lead to a better future for her family. She is desperate for a place to belong. Her mother, Cora, will do anything and go anywhere for the man she loves, even if means following him into the unknown. </p><p>At first, Alaska seems to be the answer to their prayers. In a wild, remote corner of the state, they find a fiercely independent community of strong men and even stronger women. The long, sunlit days and the generosity of the locals make up for the Allbrights’ lack of preparation and dwindling resources. </p><p>But as winter approaches and darkness descends on Alaska, Ernt’s fragile mental state deteriorates and the family begins to fracture. Soon the perils outside pale in comparison to threats from within. In their small cabin, covered in snow, blanketed in eighteen hours of night, Leni and her mother learn the terrible truth: they are on their own. In the wild, there is no one to save them but themselves. </p><p>In this unforgettable portrait of human frailty and resilience, Kristin Hannah reveals the indomitable character of the modern American pioneer and the spirit of a vanishing Alaska―a place of incomparable beauty and danger. <i>The Great Alone</i> is a daring, beautiful, stay-up-all-night story about love and loss, the fight for survival, and the wildness that lives in both man and nature.Age Range: Adult .</p>"	https://images-na.ssl-images-amazon.com/images/I/511Dl74cE9L.jpg	9780312577230	448	36	1861	4.33	134070	The Great Alone	https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0312577230	45.56	66.5	100.0	212.06
