	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
18	9780062316110	Yuval Noah Harari	Paperback	<p><strong>Official U.S. edition with full color illustrations throughout.</strong></p><p><strong><em>#1 New York Times</em> Bestseller </strong></p><p><strong>The Summer Reading Pick for President Barack Obama, Bill Gates, and Mark Zuckerberg,  </strong><strong>now available as a beautifully packaged paperback</strong></p><p>From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”</p><p>One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us?</p><p>Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, <em>Sapiens</em> integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.</p><p>Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become?</p><p>Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.</p>	https://images-na.ssl-images-amazon.com/images/I/51wCSMMsMuL.jpg	9780062316110	464	52	1102	4.45	181086.0	Sapiens	https://www.amazon.com/Sapiens-Humankind-Yuval-Noah-Harari/dp/0062316117?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0062316117	75.92	72.5	100.0	248.42
14	0060899220	Anthony Bourdain	Paperback	<p>A deliciously funny, delectably shocking banquet of wild-but-true tales of life in the culinary trade from Chef Anthony Bourdain, laying out his more than a quarter-century of drugs, sex, and haute cuisineâ€”now with all-new, never-before-published material.</p>	https://images-na.ssl-images-amazon.com/images/I/51%2BcWVVPuQL.jpg	9780060899226	312	62	641	4.04	173913.0	Kitchen Confidential	https://www.amazon.com/Kitchen-Confidential-Updated-Adventures-Underbelly/dp/0060899220?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0060899220	94.36	52.0	100.0	246.36
13	0316392383	David Sedaris	Hardcover	<b>David Sedaris returns with his most deeply personal and darkly hilarious book.<br><br></b>If you've ever laughed your way through David Sedaris's cheerfully misanthropic stories, you might think you know what you're getting with <i>Calypso.</i> You'd be wrong. <br><br>When he buys a beach house on the Carolina coast, Sedaris envisions long, relaxing vacations spent playing board games and lounging in the sun with those he loves most. And life at the Sea Section, as he names the vacation home, is exactly as idyllic as he imagined, except for one tiny, vexing realization: it's impossible to take a vacation from yourself.<br><br>With <i>Calypso,</i> Sedaris sets his formidable powers of observation toward middle age and mortality. Make no mistake: these stories are very, very funny--it's a book that can make you laugh 'til you snort, the way only family can. Sedaris's powers of observation have never been sharper, and his ability to shock readers into laughter unparalleled. But much of the comedy here is born out of that vertiginous moment when your own body betrays you and you realize that the story of your life is made up of more past than future.<br><br>This is beach reading for people who detest beaches, required reading for those who loathe small talk and love a good tumor joke. <i>Calypso</i> is simultaneously Sedaris's darkest and warmest book yet--and it just might be his very best.<br>	https://images-na.ssl-images-amazon.com/images/I/51Mpyi1NzNL.jpg	9780316392389	272	54	1283	4.24	28862.0	Calypso	https://www.amazon.com/Calypso-David-Sedaris/dp/0316392383?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0316392383	68.68	62.0	100.0	230.68
1	9780393609394	Neil deGrasse Tyson	Hardcover	<p><strong>Over a year on the <em>New York Times</em> bestseller list and more than a million copies sold.<br /><br /> The essential universe, from our most celebrated and beloved astrophysicist.</strong></p><p>What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There’s no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.</p><p>But today, few of us have time to contemplate the cosmos. So Tyson brings the universe down to Earth succinctly and clearly, with sparkling wit, in tasty chapters consumable anytime and anywhere in your busy day.</p><p>While you wait for your morning coffee to brew, for the bus, the train, or a plane to arrive, <em>Astrophysics for People in a Hurry</em> will reveal just what you need to be fluent and ready for the next cosmic headlines: from the Big Bang to black holes, from quarks to quantum mechanics, and from the search for planets to the search for life in the universe.</p>	https://images-na.ssl-images-amazon.com/images/I/51CeYGN%2Bc0L.jpg	9780393609394	224	36	1217	4.13	59868.0	Astrophysics for People in a Hurry	https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0393609391	71.32	56.5	100.0	227.82
3	0399590501	Tara Westover	Hardcover	<b><b>#1 <i>NEW YORK TIMES, WALL STREET JOURNAL, </i>AND<i> BOSTON GLOBE </i>BESTSELLER • <i>WASHINGTON POST </i>AND <i>USA TODAY</i> BESTSELLER • PRESIDENT BARACK OBAMA’S 2018 SUMMER READING • A <i>NEW YORK TIMES</i> AND <i>WASHINGTON POST</i> NOTABLE BOOK • #1 <i>LIBRARYREADS</i> FAVORITE OF FAVORITES PICK • ONE OF <i>O: THE OPRAH MAGAZINE</i>’S 15 FAVORITE BOOKS OF 2018 • ONE OF <i>TIME</i>’S TEN BEST NONFICTION BOOKS OF 2018 • ONE OF <i>PUBLISHERS WEEKLY</i>’S TEN BEST BOOKS OF THE YEAR • <i>PBS</i> <i>NEWSHOUR</i>/<i>NEW YORK TIMES</i> BOOK OF THE MONTH</b> <b>• LONGLISTED FOR THE CARNEGIE MEDAL FOR EXCELLENCE</b> <br><br><b>An unforgettable memoir about a young girl who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University</b><br><br>“Beautiful and propulsive . . . Despite the singularity of [Tara Westover’s] childhood, the questions her book poses are universal: How much of ourselves should we give to those we love? And how much must we betray them to grow up?”—<i>Vogue</i><br></b><br>Born to survivalists in the mountains of Idaho, Tara Westover was seventeen the first time she set foot in a classroom. Her family was so isolated from mainstream society that there was no one to ensure the children received an education, and no one to intervene when one of Tara’s older brothers became violent. When another brother got himself into college, Tara decided to try a new kind of life. Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge University. Only then would she wonder if she’d traveled too far, if there was still a way home.<br><br><b>Praise for <i>Educated</i></b><br><br>“Westover has somehow managed not only to capture her unsurpassably exceptional upbringing, but to make her current situation seem not so exceptional at all, and resonant for many others.”<b>—<i>The New York Times Book Review</i></b><br><br>“A heartbreaking, heartwarming, best-in-years memoir about striding beyond the limitations of birth and environment into a better life.”<b>—<i>USA Today<br></i></b><br>“A coming-of-age memoir reminiscent of <i>The Glass Castle.”</i>—<b><i>O: The Oprah Magazine</i><br></b><br>“Heart-wrenching . . . a beautiful testament to the power of education to open eyes and change lives.”<b>—Amy Chua, <i>The</i> <i>New York Times Book Review</i></b>	https://images-na.ssl-images-amazon.com/images/I/41qgBxTjYxL.jpg	9780399590504	352	40	1680	4.47	107879.0	Educated	https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0399590501	52.8	73.5	100.0	226.3
7	0307742482	David Grann	Paperback	<b>NEW YORK TIMES BESTSELLER   -  NATIONAL BOOK AWARD FINALIST <br><br>A <i>New York Times</i> Notable Book<br><br><b><b>Named a best book of the year by Amazon,</b><i><b> <i>Wall Street Journal, The Boston Globe, San Francisco Chronicle, GQ, Time, Newsday, Entertainment Weekly, Time Magazine, </i></b></i><b>NPR,<i> Vogue, Smithsonian, Cosmopolitan, Seattle Times, Bloomberg, Lit Hub, </i>and Slate</b><i><br><br></i>From the #1 <i>New York Times</i> best-selling author of <i>The Lost City of Z,</i> a twisting, haunting true-life murder mystery about one of the most monstrous crimes in American history</b><br></b><br>            In the 1920s, the richest people per capita in the world were members of the Osage Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.<br>             Then, one by one, the Osage began to be killed off. The family of an Osage woman, Mollie Burkhart, became a prime target. One of her relatives was shot. Another was poisoned. And it was just the beginning, as more and more Osage were dying under mysterious circumstances, and many of those who dared to investigate the killings were themselves murdered. <br>             As the death toll rose, the newly created FBI took up the case, and the young director, J. Edgar Hoover, turned to a former Texas Ranger named Tom White to try to unravel the mystery. White put together an undercover team, including a Native American agent who infiltrated the region, and together with the Osage began to expose one of the most chilling conspiracies in American history.	https://images-na.ssl-images-amazon.com/images/I/51PP3iTK8DL.jpg	9780307742483	400	25	1271	4.11	63113.0	Killers of the Flower Moon	https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0307742482?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0307742482	69.16	55.5	100.0	224.66
9	1250192455	James Comey	Hardcover	<p>In his book, former FBI director James Comey shares his never-before-told experiences from some of the highest-stakes situations of his career in the past two decades of American government, exploring what good, ethical leadership looks like, and how it drives sound decisions. His journey provides an unprecedented entry into the corridors of power, and a remarkable lesson in what makes an effective leader.</p><p>Mr. Comey served as director of the FBI from 2013 to 2017, appointed to the post by President Barack Obama. He previously served as U.S. attorney for the Southern District of New York, and the U.S. deputy attorney general in the administration of President George W. Bush. From prosecuting the Mafia and Martha Stewart to helping change the Bush administration's policies on torture and electronic surveillance, overseeing the Hillary Clinton e-mail investigation as well as ties between the Trump campaign and Russia, Comey has been involved in some of the most consequential cases and policies of recent history.</p>	https://images-na.ssl-images-amazon.com/images/I/31psjQoH6XL.jpg	9781250192455	312	47	1600	4.21	25135.0	A Higher Loyalty	https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1250192455	56.0	60.5	100.0	216.5
19	1501175513	Bob Woodward	Hardcover	<b>“Explosive.”—<i>The Washington Post</i></b><BR> <b>“Devastating.”—<i>The New Yorker</i></b><BR> <b>“Unprecedented.”—CNN </b><BR> <BR> <b>THE INSIDE STORY ON PRESIDENT TRUMP, AS ONLY BOB WOODWARD CAN TELL IT</b><BR><BR>With authoritative reporting honed through eight presidencies from Nixon to Obama, author Bob Woodward reveals in unprecedented detail the harrowing life inside President Donald Trump’s White House and precisely how he makes decisions on major foreign and domestic policies. Woodward draws from hundreds of hours of interviews with firsthand sources, meeting notes, personal diaries, files and documents. The focus is on the explosive debates and the decision-making in the Oval Office, the Situation Room, Air Force One and the White House residence.<BR> <BR> <i>Fear</i> is the most intimate portrait of a sitting president ever published during the president’s first years in office.	https://images-na.ssl-images-amazon.com/images/I/416jD1EyieL.jpg	9781501175510	448	54	1374	3.99	23032.0	Fear: Trump in the White House	https://www.amazon.com/Fear-Trump-White-Bob-Woodward/dp/1501175513?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1501175513	65.04	49.5	100.0	214.54
11	9781594204227	Michael Pollan	Hardcover	"<b><b>A<i> New York Times </i>Notable Book <br><br>The #1 <i>New York Times</i> bestseller.<br><br>A brilliant and brave investigation into the medical and scientific revolution taking place around psychedelic drugs--and the spellbinding story of his own life-changing psychedelic experiences </b></b><br><br>When Michael Pollan set out to research how LSD and psilocybin (the active ingredient in magic mushrooms) are being used to provide relief to people suffering from difficult-to-treat conditions such as depression, addiction and anxiety, he did not intend to write what is undoubtedly his most personal book. But upon discovering how these remarkable substances are improving the lives not only of the mentally ill but also of healthy people coming to grips with the challenges of everyday life, he decided to explore the landscape of the mind in the first person as well as the third. Thus began a singular adventure into various altered states of consciousness, along with a dive deep into both the latest brain science and the thriving underground community of psychedelic therapists. Pollan sifts the historical record to separate the truth about these mysterious drugs from the myths that have surrounded them since the 1960s, when a handful of psychedelic evangelists inadvertently catalyzed a powerful backlash against what was then a promising field of research.<br><br>A unique and elegant blend of science, memoir, travel writing, history, and medicine, <i>How to Change Your Mind</i> is a triumph of participatory journalism. By turns dazzling and edifying, it is the gripping account of a journey to an exciting and unexpected new frontier in our understanding of the mind, the self, and our place in the world. The true subject of Pollan's ""mental travelogue"" is not just psychedelic drugs but also the eternal puzzle of human consciousness and how, in a world that offers us both suffering and joy, we can do our best to be fully present and find meaning in our lives."	https://images-na.ssl-images-amazon.com/images/I/41yw3Jt4KaL.jpg	9781594204227	480	39	1699	4.33	8698.0	How to Change Your Mind	https://www.amazon.com/Change-Your-Mind-Consciousness-Transcendence/dp/1594204225?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1594204225	52.04	66.5	86.8484848485	205.388484848
0	9780143110637	Ron Chernow	Paperback	<b>The #1 <i>New York Times </i>bestseller.<br><b><br>Named one of the 10 Best Books of 2017 by <i>The New York Times Book Review.</i><br></b><br>Pulitzer Prize winner Ron Chernow returns with a sweeping and dramatic portrait of one of our most compelling generals and presidents, Ulysses S. Grant.</b><br>  <br> Ulysses S. Grant's life has typically been misunderstood. All too often he is caricatured as a chronic loser and an inept businessman, or as the triumphant but brutal Union general of the Civil War. But these stereotypes don't come close to capturing him, as Chernow shows in his masterful biography, the first to provide a complete understanding of the general and president whose fortunes rose and fell with dizzying speed and frequency.<br>  <br> Before the Civil War, Grant was flailing. His business ventures had ended dismally, and despite distinguished service in the Mexican War he ended up resigning from the army in disgrace amid recurring accusations of drunkenness. But in war, Grant began to realize his remarkable potential, soaring through the ranks of the Union army, prevailing at the battle of Shiloh and in the Vicksburg campaign, and ultimately defeating the legendary Confederate general Robert E. Lee. Along the way, Grant endeared himself to President Lincoln and became his most trusted general and the strategic genius of the war effort. Grant’s military fame translated into a two-term presidency, but one plagued by corruption scandals involving his closest staff members.<br><br> More important, he sought freedom and justice for black Americans, working to crush the Ku Klux Klan and earning the admiration of Frederick Douglass, who called him “the vigilant, firm, impartial, and wise protector of my race.” After his presidency, he was again brought low by a dashing young swindler on Wall Street, only to resuscitate his image by working with Mark Twain to publish his memoirs, which are recognized as a masterpiece of the genre. <br>  <br> With lucidity, breadth, and meticulousness, Chernow finds the threads that bind these disparate stories together, shedding new light on the man whom Walt Whitman described as “nothing heroic... and yet the greatest hero.” Chernow’s probing portrait of Grant's lifelong struggle with alcoholism transforms our understanding of the man at the deepest level. This is America's greatest biographer, bringing movingly to life one of our finest but most underappreciated presidents. The definitive biography, <i>Grant</i> is a grand synthesis of painstaking research and literary brilliance that makes sense of all sides of Grant's life, explaining how this simple Midwesterner could at once be so ordinary and so extraordinary.<br><br><b>Named one of the best books of the year by Goodreads •<i> </i>Amazon <i>• The New York Times</i> <i>• Newsday</i> <i>• </i>BookPage <i>• </i>Barnes and Noble <i>• Wall Street Journal</i> </b>	https://images-na.ssl-images-amazon.com/images/I/41SGRZQeumL.jpg	9780143110637	1104	10	1980	4.57	8613.0	Grant	https://www.amazon.com/Grant-Ron-Chernow/dp/0143110632?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143110632	40.8	78.5	85.9898989899	205.28989899
