	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
15	030682485X	Alex Haley	Paperback	"A new eight-hour event series based on Roots will be simulcast on the History Channel, Lifetime, and A&E over four consecutive nights beginning Memorial Day, May 30, 2016""Early in the spring of 1750, in the village of Juffure, four days upriver from the coast of The Gambia, West Africa, a man-child was born to Omoro and Binta Kinte.""So begins Roots, one of the most extraordinary and influential books of our time. Through the story of one family—his family—Alex Haley unforgettably brings to life the monumental two-century drama of Kunta Kinte and the six generations who came after him: slaves and freedmen, farmers and blacksmiths, lumber mill workmen and Pullman porters, lawyers and architects...and one author.A national and international phenomenon at the time of its original publication, Roots continues to enthrall readers with its masterful narrative drive and exceptional emotional power, speaking to us all with an undiminished resonance and relevance.""In all of us there is a hunger, marrow deep, to know our heritage.... Without this enriching knowledge, there is a hollow yearning no matter what our attainments in life.""—Alex HaleyWith an introduction by Michael Eric DysonRootsTheBook.com"	https://images-na.ssl-images-amazon.com/images/I/41eTr3%2BPdeL.jpg	9780306824852	912	65	668	4.43	134100	Roots	https://www.amazon.com/Roots-American-Family-Alex-Haley/dp/030682485X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=030682485X	93.28	71.5	100.0	264.78
10	1505223377	W.E.B. Du Bois	Paperback	The Souls of Black Folk is a classic work of American literature by W. E. B. Du Bois. It is a seminal work in the history of sociology, and a cornerstone of African-American literary history. To develop this groundbreaking work, Du Bois drew from his own experiences as an African-American in the American society. Outside of its notable relevance in African-American history, The Souls of Black Folk also holds an important place in social science as one of the early works in the field of sociology.	https://images-na.ssl-images-amazon.com/images/I/41xrfpHnGuL.jpg	9781505223378	124		589	4.27	28700	The Souls of Black Folk	https://www.amazon.com/Souls-Black-Folk-B-Bois/dp/1505223377?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1505223377	96.44	63.5	100.0	259.94
2	0345806565	James Baldwin	Paperback	Set in the 1950s Paris of American expatriates, liaisons, and violence, a young man finds himself caught between desire and conventional morality. With a sharp, probing imagination, James Baldwin's now-classic narrative delves into the mystery of loving and creates a moving, highly controversial story of death and passion that reveals the unspoken complexities of the human heart.	https://images-na.ssl-images-amazon.com/images/I/51HeA5Qp7jL.jpg	9780345806567	176	53	660	4.22	42000	Giovanni's Room	https://www.amazon.com/Giovannis-Room-James-Baldwin/dp/0345806565?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0345806565	93.6	61.0	100.0	254.6
0	0345514408	Maya Angelou	Mass Market Paperback	Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.   Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.   Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read.   “I Know Why the Caged Bird Sings liberates the reader into life simply because Maya Angelou confronts her own life with such a moving wonder, such a luminous dignity.”—James Baldwin	https://images-na.ssl-images-amazon.com/images/I/41SKsBaGXRL.jpg	9780345514400	304		799	4.22	341900	I Know Why the Caged Bird Sings	https://www.amazon.com/Know-Why-Caged-Bird-Sings/dp/0345514408?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0345514408	88.04	61.0	100.0	249.04
3	9780679744726	James Baldwin	Paperback	"A national bestseller when it first appeared in 1963, The Fire Next Time galvanized the nation and gave passionate voice to the emerging civil rights movement. At once a powerful evocation of James Baldwin's early life in Harlem and a disturbing examination of the consequences of racial injustice, the book is an intensely personal and provocative document. It consists of two ""letters,"" written on the occasion of the centennial of the Emancipation Proclamation, that exhort Americans, both black and white, to attack the terrible legacy of racism. Described by The New York Times Book Review as ""sermon, ultimatum, confession, deposition, testament, and chronicle...all presented in searing, brilliant prose,"" The Fire Next Time stands as a classic of our literature."	https://images-na.ssl-images-amazon.com/images/I/51bpEsBHUiL.jpg	9780679744726	128	15	1187	4.51	32200	The Fire Next Time	https://www.amazon.com/Fire-Next-Time-James-Baldwin/dp/067974472X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=067974472X	72.52	75.5	100.0	248.02
1	9780345806543	James Baldwin	Mass Market Paperback	"""Mountain,"" Baldwin said, ""is the book I had to write if I was ever going to write anything else."" Go Tell It On The Mountain, first published in 1953, is Baldwin's first major work, a novel that has established itself as an American classic. With lyrical precision, psychological directness, resonating symbolic power, and a rage that is at once unrelenting and compassionate, Baldwin chronicles a fourteen-year-old boy's discovery of the terms of his identity as the stepson of the minister of a storefront Pentecostal church in Harlem one Saturday in March of 1935. Baldwin's rendering of his protagonist's spiritual, sexual, and moral struggle of self-invention opened new possibilities in the American language and in the way Americans understand themselves."	https://images-na.ssl-images-amazon.com/images/I/510dFZyJmyL.jpg	9780345806543	272	10	719	4.02	37300	Go Tell It On the Mountain	https://www.amazon.com/Go-Tell-Mountain-Vintage-International/dp/0345806549?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0345806549	91.24	51.0	100.0	242.24
7	0807083690	Octavia E. Butler	Paperback	The visionary author’s masterpiece pulls us—along with her Black female hero—through time to face the horrors of slavery and explore the impacts of racism, sexism, and white supremacy then and now.Dana, a modern black woman, is celebrating her twenty-sixth birthday with her new husband when she is snatched abruptly from her home in California and transported to the antebellum South. Rufus, the white son of a plantation owner, is drowning, and Dana has been summoned to save him. Dana is drawn back repeatedly through time to the slave quarters, and each time the stay grows longer, more arduous, and more dangerous until it is uncertain whether or not Dana's life will end, long before it has a chance to begin.	https://images-na.ssl-images-amazon.com/images/I/51E-UIeSb2L.jpg	9780807083697	264	32	1087	4.23	69500	Kindred	https://www.amazon.com/Kindred-Octavia-Butler/dp/0807083690?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0807083690	76.52	61.5	100.0	238.02
8	0446675504	Octavia E. Butler	Paperback	"This highly acclaimed post-apocalyptic novel of hope and terror from award-winning author Octavia E. Butler ""pairs well with 1984 or The Handmaid's Tale"" (John Green, New York Times)--now with a new foreword by N. K. Jemisin. When global climate change and economic crises lead to social chaos in the early 2020s, California becomes full of dangers, from pervasive water shortage to masses of vagabonds who will do anything to live to see another day. Fifteen-year-old Lauren Olamina lives inside a gated community with her preacher father, family, and neighbors, sheltered from the surrounding anarchy. In a society where any vulnerability is a risk, she suffers from hyperempathy, a debilitating sensitivity to others' emotions.Precocious and clear-eyed, Lauren must make her voice heard in order to protect her loved ones from the imminent disasters her small community stubbornly ignores. But what begins as a fight for survival soon leads to something much more: the birth of a new faith . . . and a startling vision of human destiny."	https://images-na.ssl-images-amazon.com/images/I/51x9J2WZRwL.jpg	9780446675505	352	36	1020	4.15	40400	Parable of the Sower	https://www.amazon.com/Parable-Sower-Earthseed-Octavia-Butler/dp/0446675504?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0446675504	79.2	57.5	100.0	236.7
14	0812980328	Maya Angelou	Paperback	In The Heart of a Woman, Maya Angelou leaves California with her son, Guy, to move to New York. There she enters the society and world of black artists and writers, reads her work at the Harlem Writers Guild, and begins to take part in the struggle of black Americans for their rightful place in the world. In the meantime, her personal life takes an unexpected turn. She leaves the bail bondsman she was intending to marry after falling in love with a South African freedom fighter, travels with him to London and Cairo, where she discovers new opportunities.The Heart of a Woman is filled with unforgettable vignettes of such renowned people as Billie Holiday and Malcom X, but perhaps most importantly chronicles the joys and the burdens of a black mother in America and how the son she has cherished so intensely and worked for so devotedly finally grows to be a man.	https://images-na.ssl-images-amazon.com/images/I/51Y6QqomUnL.jpg	9780812980325	352	32	1156	4.20	18500	The Heart of a Woman	https://www.amazon.com/Heart-Woman-Maya-Angelou/dp/0812980328?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0812980328	73.76	60.0	100.0	233.76
25	140003342X	Toni Morrison	Paperback	Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the place of his family’s origins, Morrison introduces an entire cast of strivers and seeresses, liars and assassins, the inhabitants of a fully realized black world.	https://images-na.ssl-images-amazon.com/images/I/41P-CfLMjwL.jpg	9781400033423	352	32	1087	4.03	73100	Song of Solomon	https://www.amazon.com/Song-Solomon-Toni-Morrison/dp/140003342X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=140003342X	76.52	51.5	100.0	228.02
