	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
9	9780679763888	Isabel Wilkerson	Paperback	In this epic, beautifully written masterwork, Pulitzer Prize–winning author Isabel Wilkerson chronicles one of the great untold stories of American history: the decades-long migration of black citizens who fled the South for northern and western cities, in search of a better life.NATIONAL BOOK CRITICS CIRCLE AWARD WINNERLYNTON HISTORY PRIZE WINNERHEARTLAND AWARD WINNER DAYTON LITERARY PEACE PRIZE FINALIST      NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BYThe New York Times  • USA Today • O: The Oprah Magazine • Amazon • Publishers Weekly •  Salon • Newsday  • The Daily Beast NAMED ONE OF THE BEST BOOKS OF THE YEAR BYThe New Yorker •  The Washington Post • The Economist • Boston Globe • San Francisco Chronicle •  Chicago  Tribune • Entertainment Weekly • Philadelphia Inquirer • The Guardian • The Seattle Times • St. Louis Post-Dispatch  • The Christian Science Monitor  From 1915 to 1970, this exodus of almost six million people changed the face of America. Wilkerson compares this epic migration to the migrations of other peoples in history. She interviewed more than a thousand people, and gained access to new data and official records, to write this definitive and vividly dramatic account of how these American journeys unfolded, altering our cities, our country, and ourselves. With stunning historical detail, Wilkerson tells this story through the lives of three unique individuals: Ida Mae Gladney, who in 1937 left sharecropping and prejudice in Mississippi for Chicago, where she achieved quiet blue-collar success and, in old age, voted for Barack Obama when he ran for an Illinois Senate seat; sharp and quick-tempered George Starling, who in 1945 fled Florida for Harlem, where he endangered his job fighting for civil rights, saw his family fall, and finally found peace in God; and Robert Foster, who left Louisiana in 1953 to pursue a medical career, the personal physician to Ray Charles as part of a glitteringly successful medical career, which allowed him to purchase a grand home where he often threw exuberant parties.Wilkerson brilliantly captures their first treacherous and exhausting cross-country trips by car and train and their new lives in colonies that grew into ghettos, as well as how they changed these cities with southern food, faith, and culture and improved them with discipline, drive, and hard work. Both a riveting microcosm and a major assessment, The Warmth of Other Suns is a bold, remarkable, and riveting work, a superb account of an “unrecognized immigration” within our own land. Through the breadth of its narrative, the beauty of the writing, the depth of its research, and the fullness of the people and lives portrayed herein, this book is destined to become a classic.	https://images-na.ssl-images-amazon.com/images/I/61IBluU1ZiL.jpg	9780679763888	640	55	803	4.35	43600	The Warmth of Other Suns	https://www.amazon.com/Warmth-Other-Suns-Americas-Migration/dp/0679763880?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679763880	87.88	67.5	100.0	255.38
11	9780374531386	Joan Didion	Paperback	The first nonfiction work by one of the most distinctive prose stylists of our era, Joan Didion's Slouching Towards Bethlehem remains, decades after its first publication, the essential portrait of America―particularly California―in the sixties. It focuses on such subjects as John Wayne and Howard Hughes, growing up a girl in California, ruminating on the nature of good and evil in a Death Valley motel room, and, especially, the essence of San Francisco's Haight-Ashbury, the heart of the counterculture.	https://images-na.ssl-images-amazon.com/images/I/41ULaIpZwsL.jpg	9780374531386	256	32	1020	4.22	28600	Slouching Towards Bethlehem	https://www.amazon.com/Slouching-Towards-Bethlehem-Essays-Classics/dp/0374531382?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0374531382	79.2	61.0	100.0	240.2
10	067974195X	Jane Jacobs	Paperback	A direct and fundamentally optimistic indictment of the short-sightedness and intellectual arrogance that has characterized much of urban planning in this century, The Death and Life of Great American Cities has, since its first publication in 1961, become the standard against which all endeavors in that field are measured. In prose of outstanding immediacy, Jane Jacobs writes about what makes streets safe or unsafe; about what constitutes a neighborhood, and what function it serves within the larger organism of the city; about why some neighborhoods remain impoverished while others regenerate themselves. She writes about the salutary role of funeral parlors and tenement windows, the dangers of too much development money and too little diversity. Compassionate, bracingly indignant, and always keenly detailed, Jane Jacobs's monumental work provides an essential framework for assessing the vitality of all cities.	https://images-na.ssl-images-amazon.com/images/I/41czx9OKhpL.jpg	9780679741954	458	32	1152	4.31	10400	The Death and Life of Great American Cities	https://www.amazon.com/Death-Life-Great-American-Cities/dp/067974195X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=067974195X	73.92	65.5	100.0	239.42
12	0062119044	Lionel Shriver	Paperback	Now a major motion picture by Lynne Ramsay, starring Tilda Swinton and John C. Reilly, Lionel Shriver’s resonant story of a mother’s unsettling quest to understand her teenage son’s deadly violence, her own ambivalence toward motherhood, and the explosive link between them reverberates with the haunting power of high hopes shattered by dark realities. Like Shriver’s charged and incisive later novels, including So Much for That and The Post-Birthday World, We Need to Talk About Kevin is a piercing, unforgettable, and penetrating exploration of violence, family ties, and responsibility, a book that the Boston Globe describes as “sometimes searing . . . [and] impossible to put down.”	https://images-na.ssl-images-amazon.com/images/I/41mWK6BnelL.jpg	9780062119049	432	45	933	4.08	137500	We Need To Talk About Kevin	https://www.amazon.com/We-Need-Talk-About-Kevin/dp/0062119044?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0062119044	82.68	54.0	100.0	236.68
7	1250062187	Elizabeth Kolbert	Paperback	WINNER OF THE PULITZER PRIZEONE OF THE NEW YORK TIMES BOOK REVIEW'S 10 BEST BOOKS OF THE YEARA NEW YORK TIMES BESTSELLERA NATIONAL BOOK CRITICS CIRCLE AWARD FINALISTA major book about the future of the world, blending intellectual and natural history and field reporting into a powerful account of the mass extinction unfolding before our eyesOver the last half-billion years, there have been Five mass extinctions, when the diversity of life on earth suddenly and dramatically contracted. Scientists around the world are currently monitoring the sixth extinction, predicted to be the most devastating extinction event since the asteroid impact that wiped out the dinosaurs. This time around, the cataclysm is us. In prose that is at once frank, entertaining, and deeply informed, New Yorker writer Elizabeth Kolbert tells us why and how human beings have altered life on the planet in a way no species has before. Interweaving research in half a dozen disciplines, descriptions of the fascinating species that have already been lost, and the history of extinction as a concept, Kolbert provides a moving and comprehensive account of the disappearances occurring before our very eyes. She shows that the sixth extinction is likely to be mankind's most lasting legacy, compelling us to rethink the fundamental question of what it means to be human.	https://images-na.ssl-images-amazon.com/images/I/513qCLaP5sL.jpg	9781250062185	336	40	1087	4.13	34900	The Sixth Extinction	https://www.amazon.com/Sixth-Extinction-Unnatural-History/dp/1250062187?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1250062187	76.52	56.5	100.0	233.02
3	9780307455925	Chimamanda Ngozi Adichie	Paperback	The bestselling novel—and one of Barack Obama’s summer reading picks—from the award-winning author of We Should All Be Feminists and Dear Ijeawele. “From one of the world’s great contemporary writers comes the story of two Nigerians making their way in the U.S. and the UK, raising universal questions of race and belonging, the overseas experience for the African diaspora, and the search for identity and a home.” —Barack Obama Nominated as one of America’s best-loved novels by PBS’s The Great American ReadIfemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion—for each other and for their homeland. 	https://images-na.ssl-images-amazon.com/images/I/51gN4UHWDrL.jpg	9780307455925	588	16	1339	4.30	192400	Americanah	https://www.amazon.com/Americanah-Chimamanda-Ngozi-Adichie/dp/0307455920?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0307455920	66.44	65.0	100.0	231.44
16	1983888257	Mary Wollstonecraft Shelley	Paperback	"Frankenstein; or, The Modern Prometheus is a novel written by English author Mary Shelley (1797–1851) that tells the story of Victor Frankenstein, a young scientist who creates a grotesque but sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition of the novel was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared on the second edition, published in France in 1823. Shelley travelled through Europe in 1814, journeying along the river Rhine in Germany with a stop in Gernsheim which is 17 km (10 mi) away from Frankenstein Castle, where, two centuries before, an alchemist was engaged in experiments. Later, she travelled in the region of Geneva (Switzerland)—where much of the story takes place—and the topic of galvanism and other similar occult ideas were themes of conversation among her companions, particularly her lover and future husband, Percy Shelley. Mary, Percy, Lord Byron and John Polidori decided to have a competition to see who could write the best horror story. After thinking for days, Shelley dreamt about a scientist who created life and was horrified by what he had made; her dream later evolved into the novel's story. Frankenstein is infused with elements of the Gothic novel and the Romantic movement. At the same time, it is an early example of science fiction. Brian Aldiss has argued that it should be considered the first true science fiction story because, in contrast to previous stories with fantastical elements resembling those of later science fiction, the central character ""makes a deliberate decision"" and ""turns to modern experiments in the laboratory"" to achieve fantastic results. It has had a considerable influence in literature and popular culture and spawned a complete genre of horror stories, films and plays."	https://images-na.ssl-images-amazon.com/images/I/414qA5cZW2L.jpg	9781983888250	100		699	3.78	1009100	Frankenstein	https://www.amazon.com/Frankenstein-Mary-Wollstonecraft-Shelley/dp/1983888257?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1983888257	92.04	39.0	100.0	231.04
20	140003342X	Toni Morrison	Paperback	Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the place of his family’s origins, Morrison introduces an entire cast of strivers and seeresses, liars and assassins, the inhabitants of a fully realized black world.	https://images-na.ssl-images-amazon.com/images/I/41P-CfLMjwL.jpg	9781400033423	352	32	1087	4.03	73100	Song of Solomon	https://www.amazon.com/Song-Solomon-Toni-Morrison/dp/140003342X?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=140003342X	76.52	51.5	100.0	228.02
8	0141439548	George Eliot	Paperback	George Eliot's Victorian masterpiece: a magnificent portrait of a provincial town and its inhabitantsGeorge Eliot’s novel, Middlemarch: A Study of Provincial Life, explores a fictional nineteenth-century Midlands town in the midst of modern changes. The proposed Reform Bill promises political change; the building of railroads alters both the physical and cultural landscape; new scientific approaches to medicine incite public division; and scandal lurks behind respectability. The quiet drama of ordinary lives and flawed choices are played out in the complexly portrayed central characters of the novel—the idealistic Dorothea Brooke; the ambitious Dr. Lydgate; the spendthrift Fred Vincy; and the steadfast Mary Garth. The appearance of two outsiders further disrupts the town’s equilibrium—Will Ladislaw, the spirited nephew of Dorothea’s husband, the Rev. Edward Casaubon, and the sinister John Raffles, who threatens to expose the hidden past of one of the town’s elite. Middlemarch displays George Eliot’s clear-eyed yet humane understanding of characters caught up in the mysterious unfolding of self-knowledge. This Penguin Classics edition uses the second edition of 1874 and features an introduction and notes by Eliot-biographer Rosemary Ashton. In her introduction, Ashton discusses themes of social change in Middlemarch, and examines the novel as an imaginative embodiment of Eliot's humanist beliefs.For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.	https://images-na.ssl-images-amazon.com/images/I/417bAwhZhOL.jpg	9780141439549	880	10	1080	3.95	123300	Middlemarch	https://www.amazon.com/Middlemarch-Penguin-Classics-George-Eliot/dp/0141439548?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141439548	76.8	47.5	100.0	224.3
5	1400031702	Donna Tartt	Paperback	Donna Tartt, winner of the 2014 Pulitzer Prize for her most recent novel, The Goldfinch, established herself as a major talent with The Secret History, which has become a contemporary classic.Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality their lives are changed profoundly and forever, and they discover how hard it can be to truly live and how easy it is to kill.	https://images-na.ssl-images-amazon.com/images/I/418a-h-f7eL.jpg	9781400031702	576	25	1279	4.09	236800	The Secret History	https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1400031702	68.84	54.5	100.0	223.34
