,amazon_isbn,author,binding,img,isbn,page_count,percent_off,price,rating,rating_count,title_x,url,price_index,rating_index,rating_count_index,k_score_alt,k_score,title_y,description,desc_short,new_score
0,691158282,Michael Suk-Young Chwe,Paperback,https://images-na.ssl-images-amazon.com/images/I/51b5N-ijqZL.jpg,9.78069E+12,152,,2495,3.31,218,"Rational Ritual: Culture, Coordination, and Common Knowledge",https://www.amazon.com/Rational-Ritual-Culture-Coordination-Knowledge/dp/0691158282?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0691158282,0,0,0.032971663,0.004121458,0.010990554,Rational Ritual,"Why do Internet, financial service, and beer commercials dominate Super Bowl advertising? How do political ceremonies establish authority? Why does repetition characterize anthems and ritual speech? Why were circular forms favored for public festivals during the French Revolution? This book answers these questions using a single concept: common knowledge. Game theory shows that in order to coordinate its actions, a group of people must form ""common knowledge."" Each person wants to participate only if others also participate. Members must have knowledge of each other, knowledge of that knowledge, knowledge of the knowledge of that knowledge, and so on. Michael Chwe applies this insight, with striking erudition, to analyze a range of rituals across history and cultures. He shows that public ceremonies are powerful not simply because they transmit meaning from a central source to each audience member but because they let audience members know what other members know.","ritual speech, circular forms, public festivals, revolution, transmit meaning",15.75
1,465065694,Moises Naim,Paperback,https://images-na.ssl-images-amazon.com/images/I/41WWSSV6ZiL.jpg,9.78047E+12,320,31,1173,3.61,2631,"The End of Power: From Boardrooms to Battlefields and Churches to States, Why Being In Charge Isn't What It Used to Be",https://www.amazon.com/End-Power-Boardrooms-Battlefields-Churches/dp/0465065694?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0465065694,79.30413917,25,1.506316516,3.313289564,35.2701519,The End of Power,"We know that power is shifting: From West to East and North to South, from presidential palaces to public squares, from once formidable corporate behemoths to nimble startups and, slowly but surely, from men to women. But power is not merely shifting and dispersing. It is also decaying. Those in power today are more constrained in what they can do with it and more at risk of losing it than ever before. In The End of Power, award-winning columnist and former Foreign Policy editor Moises Naim illuminates the struggle between once-dominant megaplayers and the new micropowers challenging them in every field of human endeavor. Drawing on provocative, original research, Naim shows how the antiestablishment drive of micropowers can topple tyrants, dislodge monopolies, and open remarkable new opportunities, but it can also lead to chaos and paralysis.","presidential palaces, public squares, formidible corporate behemoths, nimble startups, power",123.16
2,1455504203,Henry M. Paulson,Paperback,https://images-na.ssl-images-amazon.com/images/I/518M2ZLdn5L.jpg,9.78146E+12,448,32,1223,3.73,945,Dealing with China: An Insider Unmasks the New Economic Superpower,https://www.amazon.com/Dealing-China-Insider-Economic-Superpower/dp/1455504203?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1455504203,76.30473905,35,0.476867936,4.434608492,37.26053566,Dealing With China,"Hank Paulson has dealt with China unlike any other foreigner. As head of Goldman Sachs, Paulson had a pivotal role in opening up China to private enterprise. Then, as Treasury secretary, he created the Strategic Economic Dialogue with what is now the world's second-largest economy. While negotiating with China on economic reforms, he safeguarded the teetering U.S. financial system. Paulson has worked with scores of top Chinese leaders, including Xi Jinping, China's most powerful man in decades. Now, in DEALING WITH CHINA, he takes readers behind closed doors to witness the future of China's state-controlled capitalism.","Hank Paulson, China, pivotal role, dialogue",100.35
3,1786071339,Vaclav Smil,Paperback,https://images-na.ssl-images-amazon.com/images/I/51CyM98RFYL.jpg,9.78179E+12,240,32,1019,3.88,418,Energy: A Beginner's Guide (Beginner's Guides),https://www.amazon.com/Energy-Beginners-Guide-Guides/dp/1786071339?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1786071339,88.54229154,47.5,0.155088932,5.956886116,45.39912682,Energy: A Beginner's Guide,"As Einstein pointed out in his famous equation, E=MC2, all matter can be described as energy. It is everywhere; it is everything. In this engaging book, prolific author and academic Vaclav Smil provides an introduction to the far-reaching term and gives the reader a greater understanding of energy's place in both past and present society. Starting with an explanation of the concept, he goes on to cover such exciting topics as the inner workings of the human body, and the race for more efficient and environmentally friendly fuels. With global warming becoming a mainstream political issue, this guide will help shed light on the science behind it and efforts to prevent it, and how our seemingly insignificant daily decisions affect energy consumption. Whether you're after insight or dinner table conversation, ""Energy: A Beginner's Guide"" will amaze and inform, uncovering the science behind one of the most important concepts in our universe.","Einstein, famous equation, energy, beginner, important concepts",118.05
4,1555977200,Eula Biss,Paperback,https://images-na.ssl-images-amazon.com/images/I/418YDdkorRL.jpg,9.78156E+12,224,15,1360,3.87,7061,On Immunity: An Inoculation,https://www.amazon.com/Immunity-Inoculation-Eula-Biss/dp/1555977200?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1555977200,68.08638272,46.66666667,4.211214029,6.359735087,39.65475447,On Immunity: An Inoculation,"Upon becoming a new mother, Eula Biss addresses a chronic condition of fear--fear of the government, the medical establishment, and what is in your child's air, food, mattress, medicine, and vaccines. She finds that you cannot immunize your child, or yourself, from the world.","medical establishment, new mother, chronic condition, America",171.11
5,9.78069E+12,Daryl Collins,Paperback,https://images-na.ssl-images-amazon.com/images/I/41yNUGllLzL.jpg,9.78069E+12,296,49,1482,3.93,843,Portfolios of the Poor: How the World's Poor Live on $2 a Day,https://www.amazon.com/Portfolios-Poor-How-Worlds-Live/dp/0691148198?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0691148198,60.76784643,51.66666667,0.414588129,6.510156849,37.61636708,Portfolios of the Poor,"Nearly forty percent of humanity lives on an average of two dollars a day or less. If you've never had to survive on an income so small, it is hard to imagine. How would you put food on the table, afford a home, and educate your children? How would you handle emergencies and old age? Every day, more than a billion people around the world must answer these questions. Portfolios of the Poor is the first book to systematically explain how the poor find solutions to their everyday financial problems.","old age, portfolios, everyday financial problems",97.4
6,61452068,Matt Ridley,Paperback,https://images-na.ssl-images-amazon.com/images/I/41TfA2m3u6L.jpg,9.78006E+12,480,31,1098,3.98,6838,The Rational Optimist: How Prosperity Evolves (P.s.),https://www.amazon.com/Rational-Optimist-Prosperity-Evolves-P-s/dp/0061452068?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0061452068,83.80323935,55.83333333,4.075053274,7.488548326,47.90387532,The Rational Optimist,"Life is getting better - and at an accelerating rate. Food availability, income, and life span are up; disease, child mortality, and violence are down - all across the globe. Though the world is far from perfect, necessities and luxuries alike are getting cheaper; population growth is slowing; Africa is following Asia out of poverty; the Internet, the mobile phone, and container shipping are enriching people's lives as never before. The pessimists who dominate public discourse insist that we will soon reach a turning point and things will start to get worse. But they have been saying this for two hundred years. Yet Matt Ridley does more than describe how things are getting better. He explains why. Prosperity comes from everybody working for everybody else. The habit of exchange and specialization - which started more than 100,000 years ago - has created a collective brain that sets human living standards on a rising trend. The mutual dependence, trust, and sharing that result are causes for hope, not despair.","life span, child mortality, population growth, turning point",187.48
7,143127713,Henry Kissinger,Paperback,https://images-na.ssl-images-amazon.com/images/I/41gbrDDTFLL.jpg,9.78014E+12,432,36,1223,4.06,5727,World Order,https://www.amazon.com/World-Order-Henry-Kissinger/dp/0143127713?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143127713,76.30473905,62.5,3.396691843,8.23708648,47.40047697,World Order,"Henry Kissinger offers in World Order a deep meditation on the roots of international harmony and global disorder. Drawing on his experience as one of the foremost statesmen of the modern era-advising presidents, traveling the world, observing and shaping the central foreign policy events of recent decades - Kissinger now reveals his analysis of the ultimate challenge for the twenty-first century: how to build a shared international order in a world of divergent historical perspectives, violent conflict, proliferating technology, and ideological extremism.","Henry Kissinger, world order, recent decades, historical perspectives",174.12
8,140390340,William James,Paperback,https://images-na.ssl-images-amazon.com/images/I/51UYJthAf8L.jpg,9.78014E+12,576,19,1384,4.04,8757,The Varieties of Religious Experience: A Study in Human Nature (Penguin American Library),https://www.amazon.com/Varieties-Religious-Experience-Penguin-American/dp/0140390340?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140390340,66.64667067,60.83333333,5.246768472,8.260012726,44.24225749,The Varieties of Religious Experience,"When William James went to the University of Edinburgh in 1901 to deliver a series of lectures on ""natural religion,"" he defined religion as ""the feelings, acts, and experiences of individual men in their solitude, so far as they apprehend themselves to stand in relation to whatever they may consider the divine."" Considering religion, then, not as it is defined by--or takes place in--the churches, but as it is felt in everyday life, he undertook a project that, upon completion, stands not only as one of the most important texts on psychology ever written, not only as a vitally serious contemplation of spirituality, but for many critics one of the best works of nonfiction written in the 20th century.","",195.37
9,9.78014E+12,David Deutsch,Paperback,https://images-na.ssl-images-amazon.com/images/I/51H9D%2Bp2RSL.jpg,9.78014E+12,496,8,1841,4.1,3728,The Beginning of Infinity: Explanations That Transform the World,https://www.amazon.com/Beginning-Infinity-Explanations-Transform-World/dp/0143121359?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143121359,39.23215357,65.83333333,2.176129737,8.501182884,35.74720555,The Beginning of Infinity,"In this groundbreaking book, award-winning physicist David Deutsch argues that explanations have a fundamental place in the universe - and that improving them is the basic regulating principle of all successful human endeavor. Taking us on a journey through every fundamental field of science, as well as the history of civilization, art, moral values, and the theory of political institutions, Deutsch tracks how we form new explanations and drop bad ones, explaining the conditions under which progress - which he argues is potentially boundless - can and cannot happen. Hugely ambitious and highly original, The Beginning of Infinityexplores and establishes deep connections between the laws of nature, the human condition, knowledge, and the possibility for progress.","",125.23
